,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2000-05-01,56.0,60.3125,55.25,59.9375,59.9375,8578500,AMZN,31.028841,51.875,0.0,28.908658981323242
2000-05-08,56.8125,59.25,55.4375,56.015625,56.015625,3950000,AMZN,34.65546,51.75,0.0,21.360164642333984
2000-05-19,54.625,55.75,52.25,52.625,52.625,4610900,AMZN,35.79592,48.4375,0.0,16.829078674316406
2000-05-30,47.3125,51.875,47.3125,51.75,51.75,5613200,AMZN,28.287668,46.125,0.0,23.462331771850586
2000-06-07,51.875,52.1875,50.125,51.8125,51.8125,3841200,AMZN,29.808352,37.875,0.0,22.004148483276367
2000-06-12,52.1875,52.1875,47.0,48.4375,48.4375,3986000,AMZN,30.777138,37.0,0.0,17.660362243652344
2000-06-15,47.0,47.9375,45.3125,46.3125,46.3125,3554700,AMZN,29.347809,36.125,0.0,16.964691162109375
2000-07-06,36.875,37.375,34.75,36.0625,36.0625,6767100,AMZN,12.855036,31.375000000000004,0.0,23.20746421813965
2000-07-11,35.1875,35.25,32.625,33.125,33.125,9896500,AMZN,14.581365,30.25,0.0,18.543635368347168
2000-07-19,41.5,41.5625,39.0,40.875,40.875,4743700,AMZN,16.85528,30.874999999999996,0.0,24.01972007751465
2000-07-20,40.9375,43.375,39.5,40.3125,40.3125,6945700,AMZN,17.509401,30.4375,0.0,22.803098678588867
2000-07-25,36.75,38.75,33.25,37.625,37.625,27752500,AMZN,18.516897,37.5625,0.0,19.108102798461914
2000-08-17,38.0,39.0625,36.875,38.25,38.25,4974100,AMZN,13.327299,42.9375,-24.922700881958008,0.0
2000-08-22,38.125,38.1875,36.0625,36.5,36.5,3508200,AMZN,15.575084,42.4375,-20.92491626739502,0.0
2000-08-31,43.125,43.1875,41.4375,41.5,41.5,4616300,AMZN,18.851583,41.4375,0.0,22.64841651916504
2000-09-21,37.4375,40.5,37.25,40.0625,40.0625,7425600,AMZN,20.601854,25.125,0.0,19.46064567565918
2000-09-27,38.6875,39.625,35.5,37.875,37.875,10030900,AMZN,18.555975,25.125,0.0,19.31902503967285
2000-09-29,39.0,41.25,37.625,38.4375,38.4375,6517100,AMZN,17.713938,30.812500000000004,0.0,20.723562240600586
2000-10-13,24.25,28.875,23.5,28.4375,28.4375,7633400,AMZN,7.3522754,37.5625,-21.085224628448486,0.0
2000-11-08,36.0,37.0,33.25,33.875,33.875,5835300,AMZN,15.461519,24.6875,0.0,18.413480758666992
2000-11-24,26.421875,29.125,26.0625,28.9375,28.9375,7639300,AMZN,5.7727885,22.875,0.0,23.164711475372314
2000-12-05,27.125,27.625,24.75,25.375,25.375,9969900,AMZN,2.4650655,16.875,0.0,22.909934520721436
2000-12-06,24.6875,26.0,23.625,23.625,23.625,8825800,AMZN,2.244246,17.375,0.0,21.380753993988037
2000-12-07,23.0625,23.4375,20.125,21.375,21.375,10647500,AMZN,1.7794719,15.5625,0.0,19.59552812576294
2000-12-15,22.25,24.25,22.0,22.875,22.875,8713700,AMZN,1.2260406,16.375,0.0,21.648959398269653
2001-01-16,18.3125,18.375,17.25,18.0625,18.0625,6017000,AMZN,-7.3010573,15.8125,0.0,25.3635573387146
2001-01-18,18.375,19.5,17.9375,19.5,19.5,4115800,AMZN,-5.963022,14.375,0.0,25.463022232055664
2001-02-12,14.125,15.0,13.703125,14.5,14.5,5295300,AMZN,-8.428839,11.875,0.0,22.9288387298584
2001-02-14,14.125,14.75,13.5,14.4375,14.4375,8123400,AMZN,-8.277487,11.6875,0.0,22.71498680114746
2001-02-15,13.5,14.625,13.5,14.5,14.5,16384500,AMZN,-8.176817,12.25,0.0,22.676816940307617
2001-02-23,11.875,12.0625,11.0625,11.8125,11.8125,5149900,AMZN,-9.543825,11.0,0.0,21.356325149536133
2001-03-01,9.875,10.6875,9.59375,10.4375,10.4375,10996700,AMZN,-10.848477,10.1875,0.0,21.285977363586426
2001-03-05,12.375,13.0625,11.5,12.625,12.625,23500700,AMZN,-11.74509,10.9399995803833,0.0,24.370089530944824
2001-03-06,13.078125,14.0,11.25,11.875,11.875,23191500,AMZN,-12.084609,11.640000343322754,0.0,23.959609031677246
2001-03-08,11.9375,12.0,11.625,11.6875,11.6875,4957600,AMZN,-12.882685,10.0,0.0,24.5701847076416
2001-03-09,11.4375,12.5,11.375,12.25,12.25,8856700,AMZN,-12.929185,10.229999542236328,0.0,25.179184913635254
2001-03-16,10.625,11.0625,10.25,11.0,11.0,6984200,AMZN,-11.448744,8.369999885559082,0.0,22.44874382019043
2001-03-29,10.569999694824219,11.029999732971191,10.0,10.0,10.0,4638400,AMZN,-11.316687,15.77999973297119,-21.316686630249023,0.0
2001-03-30,10.119999885559082,10.84000015258789,9.90999984741211,10.229999542236328,10.229999542236328,3558400,AMZN,-11.404144,16.200000762939453,-21.634143829345703,0.0
2001-04-05,9.020000457763672,9.300000190734863,8.720000267028809,9.119999885559082,9.119999885559082,5424200,AMZN,-12.814631,15.270000457763674,-21.93463134765625,0.0
2001-04-12,13.050000190734863,15.010000228881836,13.0,14.670000076293945,14.670000076293945,11530000,AMZN,-13.403654,17.559999465942383,-28.073654174804688,0.0
