Buy,Sell
85.0,
108.0,33.0
30.0,26.0
9.0,41.0
9.0,159.0
11.0,10.0
,
,1.0
11.0,235.0
41.0,1.0
200.0,200.0
50.0,122.0
,50.7
0.3,97.0
0.3,97.0
,122.0
,122.0
,
,
,
,
,
,5.0
,
,
,
,
10.1,
,
,
,
,
,60.0
,
,
,
,100.0
,25.0
,
,
,
,25.0
29.4,54.4
100.0,58.1
125.0,83.1
135.0,35.0
260.0,
135.0,
150.0,
,
,
50.0,50.0
50.0,
50.0,475.0
200.0,425.0
,
,
,
,
20.0,20.0
50.0,20.0
50.0,20.0
99.0,95.0
64.0,20.0
63.0,45.0
88.0,45.0
67.0,
225.0,
190.0,
185.0,75.0
195.0,15.0
70.0,70.0
,
,
,30.0
,
,20.0
,70.0
,20.0
190.7,210.0
130.0,280.0
205.7,280.0
180.7,280.0
,50.0
,
20.0,70.0
,
,
,108.0
,
,
,
,
,
50.0,50.0
75.0,75.0
142.0,100.0
92.0,50.0
274.5,58.5
167.5,0.5
112.5,0.5
30.0,20.0
15.0,15.0
10.0,5.0
,
,
,
,
,
,
,
,
,
,
,
,
138.0,
,
10.0,50.0
104.5,50.5
116.0,7.5
126.0,242.0
27.5,272.5
30.0,270.0
5.0,255.0
8.0,8.0
6.0,6.0
2.0,2.0
102.0,2.0
102.0,2.0
101.0,1.0
,
,
,
,
,
,
,
,
,
,
,
,52.0
,52.0
20.0,10.0
15.0,2.0
20.0,5.0
,2.0
2.0,202.0
40.0,491.0
1.0,240.0
,
,
,
,
,
,
,
,
,
,
,
,
,
3.0,3.0
155.0,155.0
250.0,95.0
97.0,87.0
84.0,54.0
65.0,55.0
160.0,155.0
110.0,105.0
60.0,130.0
45.0,35.0
95.0,90.0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
10.0,40.0
10.0,40.0
10.0,40.0
,262.0
,275.0
,297.0
5.0,6.0
51.5,259.5
5.0,5.0
5.0,47.0
,
,
,
,
,
,
,
,
,
,
,
,
,
25.0,25.0
,41.5
10.0,10.0
65.0,65.0
73.0,73.0
,55.0
10.0,50.0
,17.0
3.0,3.0
,
4.0,4.0
4.0,4.0
,
5.0,5.0
,
,
,
,
,
,
,
,
,
,
53.0,53.0
50.0,204.0
50.0,57.0
50.0,104.0
,160.0
,257.0
50.0,250.0
20.0,245.0
20.0,20.0
,50.0
20.0,20.0
31.0,31.0
,
,50.0
,
,
,
,
,
,100.0
,100.0
85.0,140.0
,
,90.0
50.0,50.0
64.0,204.0
7.0,107.0
,196.0
10.0,10.0
12.0,12.0
12.0,12.0
65.0,65.0
50.0,50.0
50.0,50.0
11.0,11.0
,2.0
,199.0
,199.0
,
,
27.0,26.0
,
,
,150.0
,129.0
,481.9
,50.0
50.0,50.0
50.0,50.0
15.0,10.0
,79.0
10.0,100.0
10.0,100.0
10.0,100.0
10.0,100.0
,100.0
6.0,6.0
,
,
,
,
,
,
,90.0
,90.0
,50.0
100.0,100.0
,100.0
190.8,380.8
,193.0
,108.3
,
,
12.0,
2.0,50.0
2.0,100.0
52.0,100.0
,10.0
,
1.0,
1.0,
1.0,
6.0,10.0
5.0,10.0
,128.0
,
,
,125.0
,199.0
,200.0
,100.0
59.0,109.0
100.0,100.0
17.0,280.0
,50.0
,
,
,
,
,
,
,
,0.5
0.5,0.5
2.0,45.0
2.0,201.0
2.0,100.0
,291.0
,130.0
,
,
,
50.0,100.0
,140.0
,100.0
,100.0
,50.0
,
,
,125.0
,
,
,197.0
,202.0
,
,270.0
,199.0
,377.0
,373.0
,248.0
55.0,420.0
94.9,374.0
,
36.4,300.0
,
,
,
,
,25.0
,25.0
,
,150.0
,250.0
,275.0
20.0,270.0
30.0,155.0
40.0,90.0
,100.0
20.0,80.0
,188.0
2.0,182.0
,350.0
,405.0
10.0,211.0
24.0,24.0
10.0,10.0
10.0,16.0
10.0,10.0
,
,50.0
50.0,150.0
,50.0
,50.0
,
50.0,50.0
50.0,50.0
50.0,50.0
100.0,100.0
,
,50.0
5.0,55.0
15.0,61.0
,54.0
61.0,52.0
50.0,
325.0,
753.0,50.0
700.0,50.0
601.0,
601.0,
500.4,30.0
464.9,100.0
,
,
,1.0
,1.0
,1.0
,91.0
1.0,281.0
241.0,531.0
213.0,736.0
15.0,116.0
201.0,302.0
192.0,218.0
152.0,108.0
145.0,110.0
117.0,110.0
199.0,110.0
275.0,119.0
144.0,423.0
5.0,387.0
5.0,498.0
51.0,110.0
23.0,537.0
63.0,475.0
76.0,504.0
18.0,205.0
18.0,293.0
18.0,173.0
9.0,9.0
9.0,9.0
9.0,9.0
109.0,109.0
109.0,309.0
109.0,
114.0,55.0
9.0,9.0
38.0,24.0
28.0,24.0
39.0,15.0
54.0,35.0
54.0,15.0
44.0,34.0
22.0,62.0
18.0,3.0
30.0,6.0
76.0,80.0
51.0,30.0
51.0,40.0
26.0,15.0
,
,100.0
,
,100.0
51.7,100.0
51.7,100.0
73.9,139.8
81.0,
121.3,80.6
155.0,2.0
135.0,2.0
449.0,58.0
389.0,8.0
383.0,7.0
385.0,9.0
335.0,4.0
240.0,4.0
122.0,15.0
242.0,7.0
116.0,35.0
121.0,55.0
340.0,
85.0,4.0
85.0,4.0
,
,
,
50.0,
269.9,50.0
210.9,
50.0,167.0
,
200.0,
200.0,
200.0,
350.0,327.0
2.0,144.0
2.0,77.0
2.0,7.0
2.0,7.0
136.9,3.0
7.0,2.0
2.0,7.0
2.0,293.0
8.0,38.0
58.0,13.0
108.0,41.0
68.0,13.0
55.0,5.0
,125.0
,95.0
,130.0
,154.8
50.0,240.0
70.0,70.0
,
,
10.0,10.0
14.0,14.0
23.0,23.0
,
3.0,
4.0,
109.0,5.0
163.0,50.0
105.0,5.0
100.0,50.0
180.0,30.0
353.0,30.0
130.0,
121.0,
128.0,
90.4,
,
85.5,
195.6,
232.5,
207.5,
40.6,
40.6,
51.7,
51.7,
,
50.0,
90.0,
109.0,
120.0,
69.0,
70.0,
210.0,
125.0,30.0
114.0,30.0
50.0,20.0
60.0,30.0
30.0,
,
,
83.0,
8.0,
8.0,
96.5,
8.0,
8.0,
67.8,
58.7,
58.7,
58.7,
48.0,
51.0,
13.0,
13.0,
14.0,
15.0,
8.0,
8.0,
8.0,
8.0,
98.0,90.0
108.0,100.0
178.0,170.0
,
,
,
,
,
30.4,
,
60.0,10.0
40.0,10.0
10.0,10.0
,
,5.0
,5.0
215.0,
225.0,10.0
206.0,110.0
222.0,101.0
218.0,17.0
208.0,7.0
208.0,7.0
209.0,14.0
407.0,12.0
406.0,11.0
2.0,2.0
,
,
,
,
,
,
,
,
70.0,70.0
,
,
185.0,120.0
109.0,84.0
9.0,84.0
4.0,84.0
4.0,84.0
4.0,84.0
14.0,9.0
187.0,187.0
164.0,164.0
84.0,84.0
74.0,15.0
74.0,15.0
74.0,165.0
102.0,102.0
132.0,252.0
142.0,152.0
42.0,42.0
7.0,7.0
52.0,52.0
,
66.0,66.0
,
212.0,585.0
102.0,448.0
641.0,757.0
595.0,692.0
99.0,225.0
101.0,12.0
69.0,2.0
69.0,2.0
2.0,
26.0,24.0
2.0,1.0
152.0,150.0
2.0,
40.0,38.0
14.0,12.0
,
9.0,
9.0,125.0
9.0,75.0
9.0,25.0
9.0,9.0
9.0,
,135.0
0.1,50.1
14.0,55.0
16.0,142.0
23.0,222.0
9.0,144.0
12.0,137.0
12.0,137.0
21.0,137.0
20.0,137.0
19.0,137.0
10.0,140.0
16.0,137.0
100.0,222.0
7.0,142.0
7.0,137.0
275.0,137.0
,
,
80.0,80.0
30.0,80.0
,50.0
,50.0
51.0,100.0
1.0,526.2
1.0,299.2
1.0,80.0
8.0,7.0
119.0,157.0
105.0,156.0
222.0,226.0
206.0,226.0
207.0,406.0
207.0,354.0
107.0,204.0
62.0,66.0
29.0,109.0
2.0,33.0
30.0,30.0
30.0,30.0
34.0,34.0
65.0,65.0
,
,
,
,
,
3.0,3.0
3.0,
3.0,3.0
3.0,3.0
23.0,23.0
53.0,48.0
,75.0
,75.0
66.0,91.0
39.0,75.0
,75.0
16.0,125.0
31.0,175.0
55.0,100.0
9.0,
105.0,
105.0,
105.0,
230.0,
290.0,
150.0,
50.0,
50.0,
100.0,
100.0,
36.0,
220.7,
200.0,
202.0,2.0
136.0,2.0
253.0,52.0
274.0,68.0
30.0,30.0
30.0,30.0
101.0,101.0
60.0,60.0
162.0,8.0
260.0,2.0
210.0,
210.0,
207.0,
278.0,77.0
,75.0
,
,
,30.0
,30.0
,
,29.0
,94.0
,
,243.0
60.5,182.5
20.5,263.5
58.0,63.0
153.0,352.0
27.0,97.0
71.1,96.0
11.0,1.0
10.0,
,
50.0,50.0
,187.2
,176.9
,
,
,
,200.0
50.0,200.0
50.0,200.0
50.0,200.0
,200.0
160.0,100.0
150.0,50.0
160.0,
490.0,
510.0,
528.0,5.0
605.0,80.0
433.0,5.0
428.0,
491.0,268.0
478.0,258.0
550.0,280.0
475.0,271.0
430.0,429.0
420.0,419.0
170.0,210.0
5.0,120.0
426.0,195.0
,
,
,
,
,
,
,
,
,
80.0,80.0
84.0,84.0
,53.0
30.0,80.0
3.0,55.0
3.0,55.0
102.0,50.0
120.0,50.0
5.0,65.0
,50.0
5.0,209.0
2.0,57.0
2.0,107.0
2.0,2.0
2.0,2.0
,
,
,
,
,
,
,
,
,
,25.0
50.0,75.0
,83.0
60.0,140.0
13.0,80.0
13.0,80.0
,25.0
5.0,30.0
65.0,80.0
,125.0
,347.0
70.0,70.0
11.0,
11.0,
11.0,10.0
,
,
,
,
,
,
,
,
,
,
5.0,5.0
325.0,
225.0,
15.0,
5.0,5.0
45.0,10.0
9.0,9.0
25.0,365.0
1.0,225.0
6.0,325.0
6.0,425.0
6.0,425.0
6.0,25.0
6.0,25.0
75.0,75.0
25.0,25.0
25.0,25.0
30.4,25.0
28.8,25.0
28.9,25.0
25.0,35.0
25.0,125.0
34.4,105.0
50.0,50.0
50.0,50.0
25.0,90.0
50.0,125.0
25.0,171.0
50.0,171.0
25.0,446.0
50.0,421.0
50.0,306.0
25.0,231.0
25.0,311.0
25.0,181.0
25.0,181.0
25.0,181.0
25.0,131.0
,
,
2.0,2.0
,67.0
,67.0
,52.0
,52.0
,77.0
,
2.0,2.0
50.0,52.0
30.0,32.0
80.0,32.0
50.0,2.0
,2.0
,2.0
,2.0
,2.0
,2.0
100.0,2.0
100.0,2.0
,2.0
,2.0
,
,
,
,
,
,60.0
,44.3
,
,
,
,
,
6.0,6.0
6.0,6.0
100.0,112.0
100.0,113.0
50.0,50.0
55.0,58.0
50.0,50.0
,50.0
5.0,52.0
4.0,
399.0,
300.0,
50.0,
,
180.0,
170.0,
165.0,2.0
176.0,2.0
216.0,2.0
215.0,
375.0,127.0
158.0,2.0
325.0,2.0
260.0,12.0
444.0,
511.0,9.0
691.0,5.0
847.0,13.0
936.0,7.0
810.0,55.0
1045.0,2.0
644.0,2.0
834.0,2.0
477.0,2.0
415.0,77.0
1249.0,2.0
667.0,2.0
100.0,100.0
,
66.0,80.0
,80.0
,30.0
,
,50.0
,
,
,
59.5,59.5
117.0,57.0
,
65.0,55.0
10.0,10.0
172.0,55.0
238.6,50.3
258.6,0.3
264.0,
434.0,
170.0,
10.0,
60.0,100.0
10.0,222.0
,2.0
,
,
,
,
,45.0
,193.0
,50.0
,50.0
,50.0
,
15.0,65.0
3.0,53.0
,100.0
,100.0
55.0,100.0
100.0,300.0
203.0,300.0
200.0,250.0
205.0,230.0
10.0,5.0
10.0,50.0
5.0,
5.0,
,
,
,
,
,
50.0,50.0
50.0,50.0
30.0,
270.0,
240.0,
220.0,50.0
247.0,
174.0,4.0
194.0,
194.0,
174.0,
174.0,
244.0,
309.0,
359.0,4.0
244.0,
174.0,104.0
117.0,33.0
83.0,4.0
,
,
,20.0
,90.0
,46.0
,46.0
,
,
,
70.0,120.0
100.0,100.0
160.0,100.0
163.0,100.0
64.0,
,
,
